trial_index,rt,stimulus,test_part,correct
0,null,cruz_de_fijacion,fixation,null
1,466.525,img/orange.png,test,TRUE
2,null,cruz_de_fijacion,fixation,null
3,464.15,img/blue.png,test,FALSE
4,null,cruz_de_fijacion,fixation,null
5,617.92,img/blue.png,test,TRUE
6,null,cruz_de_fijacion,fixation,null
7,487.39,img/orange.png,test,TRUE
8,null,cruz_de_fijacion,fixation,null
9,355.08,img/orange.png,test,TRUE
10,null,cruz_de_fijacion,fixation,null
11,444.515,img/blue.png,test,TRUE
12,null,cruz_de_fijacion,fixation,null
13,936.49,img/blue.png,test,TRUE
14,null,cruz_de_fijacion,fixation,null
15,431.135,img/orange.png,test,FALSE
16,null,cruz_de_fijacion,fixation,null
17,472.015,img/orange.png,test,TRUE
18,null,cruz_de_fijacion,fixation,null
19,572.165,img/blue.png,test,TRUE
20,null,cruz_de_fijacion,fixation,null
21,466.525,img/orange.png,test,TRUE
22,null,cruz_de_fijacion,fixation,null
23,464.15,img/blue.png,test,TRUE
24,null,cruz_de_fijacion,fixation,null
25,617.92,img/blue.png,test,TRUE
26,null,cruz_de_fijacion,fixation,null
27,487.39,img/orange.png,test,TRUE
28,null,cruz_de_fijacion,fixation,null
29,355.08,img/orange.png,test,TRUE
30,null,cruz_de_fijacion,fixation,null
31,444.515,img/blue.png,test,TRUE
32,null,cruz_de_fijacion,fixation,null
33,936.49,img/blue.png,test,FALSE
34,null,cruz_de_fijacion,fixation,null
35,431.135,img/orange.png,test,FALSE
36,null,cruz_de_fijacion,fixation,null
37,472.015,img/orange.png,test,TRUE
38,null,cruz_de_fijacion,fixation,null
39,572.165,img/blue.png,test,TRUE